source_node_id,target_node_id,method,strength,batch_id,updated_at,profile_id
source_3baf10297f1088f83ff9e0e6f6dbdcb36c8fca2d,source_414ac8255cc64b97b0614165b17701509ba38a47,embedding,0.568139,groq_batch_13r_outputs.normalized,"2026-04-07 12:36:08",
source_414ac8255cc64b97b0614165b17701509ba38a47,source_3baf10297f1088f83ff9e0e6f6dbdcb36c8fca2d,embedding,0.568139,groq_batch_13r_outputs.normalized,"2026-04-07 12:36:08",
